1205609246.814749 63.22.65.73 102.15.146.63 GETVIDEO -_1qeF3H20M&start 63.36.198.247 
1205609249.031201 63.22.65.73 140.8.40.99 GETVIDEO r6TF1kJvzwQ&signature 63.36.192.213 
1205609249.874625 63.22.65.77 102.15.104.182 GETVIDEO LsP-7P0t684&signature 254.212.19.9 
1205609253.303331 63.22.65.94 102.15.201.205 GETVIDEO 2bWQxD6Q3jQ&signature 254.212.22.73 
1205609253.841364 63.22.65.94 102.15.57.105 GETVIDEO FE0ZYJRrHEQ&signature 254.212.19.55 
1205609254.002870 63.22.65.73 140.8.45.44 GETVIDEO Qpd4B051h_c&signature 254.212.25.241 
1205609254.446213 63.22.65.73 35.139.181.97 GETVIDEO LTJqak_I3-M&signature 254.212.29.93 
1205609257.092560 63.22.65.94 102.15.104.148 GETVIDEO FU7IwOF0N84&origin 105.136.74.88 
1205609259.004979 63.22.65.73 102.15.144.212 GETVIDEO Xh4UIrg-7wI&origin 105.136.74.88 
1205609259.948904 63.22.65.73 35.139.186.209 GETVIDEO cR1P8Tm1fD8&origin 105.136.74.88 
1205609263.338568 63.22.65.77 205.181.166.133 GETVIDEO 3CuCbQ2Hq-Y&signature 254.212.25.251 
1205609264.471132 63.22.65.77 140.8.19.137 GETVIDEO jpX5Pd4Nu5M&signature 254.212.20.63 
1205609264.714272 63.22.65.73 140.8.54.180 GETVIDEO PrG5H_M4U_Y&signature 254.212.18.209 
1205609274.065601 63.22.65.73 140.8.40.99 GETVIDEO fvpCKSQttig&signature 254.212.16.48 
1205609282.125977 63.22.65.94 102.15.57.105 GETVIDEO MUskZvdTi_g&signature 254.212.16.117 
1205609286.479785 63.22.65.77 102.15.104.182 GETVIDEO Gx1CkPcICaY&origin 105.136.74.88 
1205609288.839221 63.22.65.94 140.8.44.200 GETVIDEO kvDMlk3kSYg&origin 105.136.74.88 
1205609291.387929 63.22.65.94 102.15.211.236 GETVIDEO ZEoTh2CDTpg&signature 63.36.203.235 
1205609291.882763 63.22.65.73 102.15.57.138 GETVIDEO DWIIagkRiHY&signature 63.36.207.72 
1205609294.497527 63.22.65.73 140.8.40.99 GETVIDEO HkDdtRGrveo&signature 254.212.30.68 
1205609298.295857 63.22.65.73 140.8.43.122 GETVIDEO GbPUSg-TMDw&origin 105.136.74.88 
1205609299.849104 63.22.65.94 102.15.146.63 GETVIDEO d80OzVp7n_0&origin 105.136.74.88 
1205609300.998310 63.22.65.94 35.139.187.136 GETVIDEO cD4QA2dfnVw&signature 254.212.16.4 
1205609303.690607 63.22.65.77 102.15.104.21 GETVIDEO UFYhupmhhBw&signature 63.22.67.67 
1205609306.212250 63.22.65.94 102.15.140.43 GETVIDEO nOj-q9TSHEc&signature 254.212.25.190 
1205609306.958808 63.22.65.94 35.139.187.136 GETVIDEO cD4QA2dfnVw&signature 254.212.16.4 
1205609308.830929 63.22.65.73 140.8.31.214 GETVIDEO ePZZT86xIds&signature 254.212.16.142 
1205609314.935234 63.22.65.94 102.15.57.105 GETVIDEO eAMkAc6YiDM&signature 254.212.23.222 
1205609319.126947 63.22.65.73 140.8.59.147 GETVIDEO _fRKuY9HJrQ&signature 63.36.207.74 
1205609321.758745 63.22.65.73 35.139.177.131 GETVIDEO WIVh8Mu1a4Q&origin 105.136.74.88 
1205609324.067077 63.22.65.73 140.8.54.180 GETVIDEO -vwR_xuMSOw&signature 254.212.19.188 
1205609327.105290 63.22.65.73 205.181.179.15 GETVIDEO nxpblnsJEWM&origin 105.136.74.88 
1205609327.779432 63.22.65.73 205.181.206.87 GETVIDEO CApLv2AEg-A&signature 254.212.25.251 
1205609332.486393 63.22.65.73 102.15.144.212 GETVIDEO Pf7e4KqGOQQ&origin 105.136.74.88 
1205609334.544848 63.22.65.77 102.15.40.225 GETVIDEO 8Lsm8jYcdbk&signature 254.212.18.157 
1205609336.866167 63.22.65.73 35.139.177.131 GETVIDEO rqyGDHmo1ok&signature 254.212.16.113 
